Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
MCL1,45,-8.95356461676206,94.5118465633185,0.9836456828325105,1.004814791391926,0.6791265502050363,0.9269550442695618,0.3963138461112976,1.460133671760559,0.6551581621170044
MCL1,56,-9.25808309585768,94.89163881605019,0.9638855426312267,1.3068171013434269,1.224847990207046,0.8866668343544006,0.3587769269943237,1.3939158916473389,0.614772617816925
MCL1,48,-6.6626190630157,94.15614195991336,0.9817743954126399,1.0374771408215568,0.7155857847096175,0.8833335638046265,0.3343138098716736,1.3974872827529907,0.6075237989425659
MCL1,33,-6.8752436973459,93.71845556369352,0.9502116067427095,0.9235840381116088,0.7042495122651146,0.89803147315979,0.3448099792003631,1.311692476272583,0.6270908713340759
MCL1,64,-9.4997930107542,94.59665945862477,0.9852045944739867,0.935453738470365,0.6681714627666695,0.9344861507415771,0.4123730957508087,1.437406301498413,0.647392213344574
MCL1,29,-6.93940556519089,94.75832445409888,0.9726658517898296,1.2692826581828165,0.6872752611497676,0.926844596862793,0.4140902459621429,1.4891668558120728,0.7017829418182373
MCL1,53,-9.96486893166623,95.12142157164709,0.9665990515498875,0.3821527514679775,0.2634135372842939,0.9034159779548644,0.3243417739868164,1.3917224407196045,0.60023432970047
MCL1,35,-8.81264617449463,94.53884353663238,0.9665224668723224,1.3248180422231577,1.2278862763879916,0.8938683867454529,0.3644143640995025,1.409743309020996,0.6282336711883545
MCL1,61,-8.07943709994224,94.23696963274335,0.9426877466824582,0.9935236086319696,0.7867951042252518,0.9205196499824524,0.3747206926345825,1.3961182832717896,0.6243657469749451
MCL1,66,-8.43167143836328,94.17373600344644,0.9829651464592357,0.7642893966412081,0.1939135667037005,0.9343894720077516,0.4664580821990967,1.4389667510986328,0.6592461466789246
MCL1,60,-8.91509126815632,94.83109067794473,0.9630336363198432,0.8082736558414311,0.6748653883816637,0.8676896095275879,0.3087768852710724,1.4147342443466189,0.5762085318565369
